Date,Category,Payment_Mode,Description,Amount,Cashback
1/1/2024,Investment,UPI,Bought mutual fund units,207.67,0
1/1/2024,Entertainment,Netbanking,Concert tickets,58.09,0
1/1/2024,Food,Credit Card,Had dinner at a restaurant with friends,383.1,0
1/1/2024,Entertainment,Netbanking,Concert tickets,817.16,0
1/1/2024,Food,Netbanking,Had dinner at a restaurant with friends,611.15,0
1/1/2024,Investment,Credit Card,Invested in stocks,305.86,0
1/1/2024,Medical Health,Netbanking,Bought medication,94.81,0
1/1/2024,Medical Health,Netbanking,Bought medication,807.16,0
1/1/2024,Medical Health,UPI,Bought medication,522.44,8.91
1/2/2024,Food,UPI,Had lunch at hotel,666.13,0
1/2/2024,Entertainment,Netbanking,Concert tickets,141.25,0
1/2/2024,Transportation,UPI,Bought a metro ticket for travel,401.83,0
1/2/2024,Groceries,Cash,Grocery shopping at the local store,126.76,0
1/2/2024,Groceries,Netbanking,Bought fresh fruits and snacks,557.45,0
1/2/2024,Entertainment,Debit Card,Concert tickets,489.5,0
1/2/2024,Investment,Netbanking,Invested in stocks,145.79,0
1/2/2024,Groceries,Debit Card,Purchased daily essentials,52.32,0
1/3/2024,Groceries,Netbanking,Grocery shopping at the local store,249.98,0
1/3/2024,Groceries,Cash,Bought fresh fruits and snacks,747.67,0
1/3/2024,Groceries,Credit Card,Bought fresh fruits and snacks,656.5,0
1/3/2024,Food,Netbanking,Had dinner at a restaurant with friends,194.65,0
1/3/2024,Investment,Netbanking,Investment in gold,414.34,0
1/3/2024,Medical Health,UPI,Bought medication,691.24,0
1/3/2024,Groceries,Cash,Grocery shopping at the local store,46.93,0
1/3/2024,Food,Credit Card,Ordered food from swiggy,882.78,0.02
1/3/2024,Entertainment,Credit Card,Concert tickets,841.78,0
1/4/2024,Medical Health,UPI,Bought medication,716.93,0
1/4/2024,Transportation,UPI,Uber ride to the office,973.27,0
1/4/2024,Transportation,Cash,Paid for train ticket,202.86,0
1/4/2024,Food,Debit Card,Had dinner at a restaurant with friends,331.09,0
1/4/2024,Shopping,Credit Card,Bought a gift for a friend's birthday,585.11,0
1/4/2024,Investment,UPI,Purchased bonds,687.04,0.78
1/4/2024,Investment,Debit Card,Investment in gold,908.84,0
1/4/2024,Transportation,Netbanking,Paid for a cab ride to work,316.97,0
1/4/2024,Entertainment,UPI,Movie tickets,332.3,0
1/4/2024,Investment,Netbanking,Bought mutual fund units,195.94,0
1/5/2024,Entertainment,Netbanking,Concert tickets,159.58,0
1/5/2024,Medical Health,Credit Card,Doctor's consultation fee,755.78,0
1/5/2024,Entertainment,Netbanking,Concert tickets,900.64,0
1/5/2024,Food,Netbanking,Had dinner at a restaurant with friends,928.77,0
1/5/2024,Food,Debit Card,Had lunch at hotel,970.32,0
1/5/2024,Transportation,Netbanking,Paid for train ticket,491.9,0
1/5/2024,Entertainment,UPI,Concert tickets,969.93,0
1/5/2024,Shopping,Debit Card,Purchased electronics,298.36,0
1/6/2024,Shopping,UPI,Purchased electronics,144.7,0
1/6/2024,Transportation,Debit Card,Bought a metro ticket for travel,97.21,0
1/6/2024,Transportation,Debit Card,Paid for train ticket,613.59,0
1/6/2024,Investment,Credit Card,Investment in gold,630.03,0
1/6/2024,Entertainment,Cash,Movie tickets,277.31,0
